"My Cart","Cart"
"Create an Account","Register"
"Search entire store here...","What are you looking for?"
"As low as","Price:"
"Shopping Cart","Your Cart"
"Update Shopping Cart","Update Cart"
"Remove item","Remove"
"Reviews","Product Reviews"
"Summary","Order Summary"
"Apply Discount Code","Have a promo code?"
"Enter discount code","Enter code"
"Apply Discount","Apply"
"Review & Payments","Payment", module, Magento_Checkout
"Thank you for your purchase!","Thank you for your order!"
"You can track your order status by creating an account.","Save time on your next purchase and receive member only perks!"
